CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
19437,,No,smokemonster,871,2016-07-06 00:00:00,Yes
18191,,No,Casperr,336,2016-01-03 00:00:00,Yes
13007,,No,Psychomantis59,652,2015-03-29 00:00:00,Yes
