CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
898,1,1,TraJiK,113,2011-02-27 00:00:00,Yes
19982,,0,smokemonster,1367,2016-10-11 00:00:00,Yes
18316,,0,Casperr,316,2016-01-03 00:00:00,Yes
13756,,0,Lurker,205,2015-05-15 00:00:00,Yes
7921,,0,Lurker,455,2014-09-08 00:00:00,Yes
