CoverID,Rating,Official,Username,FileSize,UploadedDate,NoRate
4107,4,Yes,Speed_ZGZ,605,2012-10-30 00:00:00,Yes
1157,0,Yes,GoodfellaKeyser,619,2011-03-11 00:00:00,Yes
27934,,Yes,IChoseRapture95,583,2024-10-20 00:00:00,Yes
27812,,Yes,psboss,1070,2024-10-01 00:00:00,Yes
26060,,No,NKane,478,2023-01-03 00:00:00,Yes
24748,,No,Zaikrot,954,2021-06-13 00:00:00,Yes
23335,,No,gatoflesh,354,2019-02-19 00:00:00,Yes
21018,,No,cmac-86,1156,2017-04-27 00:00:00,Yes
14062,,No,mostwantedzetaRK,1414,2015-06-08 00:00:00,Yes
9907,,No,Sisee,1083,2014-11-10 00:00:00,Yes
8972,,No,Lurker,578,2014-09-25 00:00:00,Yes
